#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
205	-136713	-127148	-126656	-143402	-139288	-122188	-123143	-127861	-127393	-129547
206	-136495	-127326	-126687	-143428	-139669	-122094	-123332	-127953	-127405	-129306
207	-136640	-127406	-126954	-143229	-140102	-122055	-123478	-127974	-127426	-129415
208	-136677	-127455	-126959	-143163	-140269	-122148	-123555	-128091	-127343	-129360
209	-136534	-127383	-127132	-142995	-140332	-122270	-123560	-128214	-127491	-129364
210	-136516	-127285	-127211	-143003	-140322	-122376	-123616	-128170	-127806	-129434
211	-136537	-127266	-127152	-142838	-140388	-122517	-123751	-128031	-127626	-129413
212	-136594	-127227	-127216	-142713	-140413	-122445	-123967	-128004	-127477	-129377
213	-136680	-127350	-127398	-142450	-140375	-122522	-124175	-128126	-127259	-129357
214	-136770	-127326	-127378	-142584	-140570	-122512	-124278	-128136	-127357	-129533
215	-136817	-127242	-127172	-142687	-140655	-122467	-124275	-128123	-127363	-129570
216	-136907	-127310	-127135	-143030	-140646	-122415	-124394	-128045	-127574	-129556
217	-137062	-127340	-127077	-143186	-140532	-122485	-124540	-127814	-127817	-129533
218	-136812	-127336	-126970	-143202	-140600	-122431	-124542	-127886	-127654	-129522
219	-136797	-127307	-127160	-143283	-140357	-122276	-124474	-127833	-127640	-129476
220	-136788	-127475	-127182	-143196	-140516	-122134	-124342	-127757	-127611	-129279
221	-136888	-127497	-127181	-143189	-140608	-121967	-124390	-127808	-127613	-129114
222	-137029	-127354	-127261	-143283	-140822	-121855	-124427	-127874	-127627	-129134
223	-137033	-127309	-127194	-143299	-140762	-121829	-124302	-127859	-127601	-129196
224	-137127	-127273	-127234	-143234	-140746	-121856	-124450	-127901	-127696	-129218
225	-137169	-127250	-127224	-143338	-140755	-121997	-124551	-128043	-127772	-129396
226	-137307	-127216	-127363	-143536	-140776	-122256	-124650	-128020	-127709	-129845
227	-137283	-127164	-127514	-143813	-140652	-122301	-124751	-128064	-127893	-129869
228	-137533	-126998	-127541	-143796	-140590	-122377	-124759	-128033	-127861	-129943
229	-137656	-126970	-127526	-143727	-140456	-122729	-124785	-128158	-127855	-130185
230	-137708	-126793	-127394	-143638	-140323	-122805	-124827	-128011	-127756	-130176
231	-137768	-126901	-127286	-143900	-140231	-122861	-124730	-128045	-127581	-130217
232	-137802	-126843	-127178	-143908	-140171	-122751	-124739	-128010	-127568	-130101
233	-137912	-126821	-127045	-143841	-140206	-122752	-124783	-128070	-127694	-129863
234	-137939	-126870	-127038	-143687	-140117	-122585	-124694	-127932	-127706	-129834
235	-137952	-127050	-126928	-143642	-140249	-122608	-124720	-127878	-127813	-129699
236	-137909	-126993	-127018	-143769	-140327	-122664	-124741	-127932	-127686	-129887
237	-137663	-126918	-127060	-144084	-140373	-122647	-124584	-127924	-127705	-130091
238	-137560	-126669	-127034	-144299	-140377	-122503	-124458	-128019	-127668	-130293
239	-137593	-126445	-126985	-144361	-140419	-122576	-124412	-128085	-127466	-130352
240	-137637	-126211	-127055	-144646	-140383	-122511	-124347	-128013	-127337	-130245
241	-137652	-126043	-126971	-144845	-140422	-122521	-124271	-127814	-127401	-130135
242	-137640	-125945	-127139	-144991	-140494	-122628	-124328	-127750	-127500	-130017
243	-137536	-125988	-127202	-145195	-140603	-122679	-124346	-127706	-127688	-129893
244	-137557	-126227	-127412	-145369	-140660	-122720	-124392	-127726	-127769	-129663
245	-137578	-126189	-127399	-145634	-140638	-122966	-124144	-127878	-127621	-129278
246	-137683	-126228	-127365	-145632	-140518	-122935	-124018	-128066	-127799	-129061
247	-137459	-126446	-127450	-145650	-140456	-122999	-123941	-128251	-127948	-129014
248	-137373	-126560	-127438	-145529	-140390	-122902	-123812	-128002	-127806	-128893
249	-137012	-126540	-127348	-145476	-140247	-122830	-123856	-127983	-127841	-128920
250	-136676	-126445	-127494	-145506	-140108	-122755	-124027	-128015	-127760	-129033
251	-136585	-126066	-127415	-145471	-140082	-122849	-123946	-127979	-127787	-128973
